ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.017557909184725957,0.1,m4.large,0.9999124421
13,0.03047962092251359,0.2,m4.xlarge,0.999132412
26,0.06536591882760298,0.4,m4.2xlarge,0.9984114
53,0.14645761158176562,0.8,m4.4xlarge,0.99641933016825
124,0.3232993174095552,2.0,m4.10xlarge,0.99265882749938
188,0.561695528113498,3.2,m4.16xlarge,0.981427842
8,0.028813624764230234,0.1,c4.large,0.999988574436314
16,0.0501007541748969,0.2,c4.xlarge,0.999123124
31,0.134390814536999,0.4,c4.2xlarge,0.9995031271237151
62,0.24655273077746484,0.8,c4.4xlarge,0.9997691551259377
132,0.5272723492141056,1.6,c4.8xlarge,0.9972876067895917
7,0.038383892787524146,0.148,r4.large,0.997123412
13,0.07370356707463424,0.296,r4.xlarge,0.99072896676075
27,0.14407662342425132,0.593,r4.2xlarge,0.9814241241
53,0.28420727697654663,1.186,r4.4xlarge,0.948172739448
99,0.5543676058903818,2.37,r4.8xlarge,0.928072833911
14,0.09428393275598498,0.69,d2.xlarge,0.9989876267660148
28,0.1938838492527611,1.38,d2.2xlarge,0.9976581249189553
56,0.4962124825253687,2.76,d2.4xlarge,0.9898558462359851
16,0.8354694796610076,5.52,d2.8xlarge,0.97124412
7,0.024346503605489553,0.156,i3.large,0.998114
13,0.05718299500680846,0.312,i3.xlarge,0.996124515
27,0.1756867690895742,0.624,i3.2xlarge,0.992516874183589
53,0.22788806080207544,1.248,i3.4xlarge,0.8299746157686678
99,0.8389501153846138,2.496,i3.8xlarge,0.7583695272522356
200,4.443877220640565,4.992,i3.16xlarge,0.6032005652129545
