ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.024946180313279647,0.1,m4.large,0.9998318397022692
13,0.07470803399089392,0.2,m4.xlarge,0.992782593313285
26,0.14601443062953745,0.4,m4.2xlarge,0.9992360680635868
53,0.27734836208719404,0.8,m4.4xlarge,0.9888996474981783
124,0.6649646195573192,2.0,m4.10xlarge,0.9834021012575574
188,1.2435568019774157,3.2,m4.16xlarge,0.9985131451982833
8,0.02403627419354853,0.1,c4.large,0.999724155315
16,0.04981995364517553,0.2,c4.xlarge,0.9981568915
31,0.13857347896905048,0.4,c4.2xlarge,0.99124198124
62,0.23782797566604247,0.8,c4.4xlarge,0.9987641242
132,0.5182048278864881,1.6,c4.8xlarge,0.9987288503760149
7,0.03187899099099104,0.148,r4.large,0.9998412712312
13,0.09321550934806457,0.296,r4.xlarge,0.999702256908231
27,0.15724921895482985,0.593,r4.2xlarge,0.9999190292016513
53,0.2985710262489492,1.186,r4.4xlarge,0.99979723081157
99,0.5411017564630116,2.37,r4.8xlarge,0.9996989751495791
14,0.15712850909090956,0.69,d2.xlarge,0.9998146679808786
28,0.3081680395236894,1.38,d2.2xlarge,0.997124758412
56,0.5089526359485249,2.76,d2.4xlarge,0.9914977305209922
16,1.147607351225203,5.52,d2.8xlarge,0.9996486844728328
7,0.037546803772467226,0.156,i3.large,0.999042186412
13,0.16934081614429478,0.312,i3.xlarge,0.997847303261642
27,0.3241082233830555,0.624,i3.2xlarge,0.9813996847810019
53,0.637630772634741,1.248,i3.4xlarge,0.9951870137228572
99,1.390260498424511,2.496,i3.8xlarge,0.9646652265688701
200,0.9806259983475626,4.992,i3.16xlarge,0.8717340872880999
